,source,author,title,description,url,photo_url,pub_date,content,date
0,"{'id': 'business-insider', 'name': 'Business Insider'}",ktan@insider.com (Kwan Wei Kevin Tan),"A cowboy-hat-donning, aviator-shades-wearing Elon Musk hiked down south to Texas to try to make a point about migration","Musk's also claimed on X on Wednesday that the US needs a border wall to keep migrants who don't have ""some shred of evidence to claim asylum"" out.",https://www.businessinsider.com/elon-musk-cowboy-hat-southern-border-livestream-2023-9,https://i.insider.com/6516345dc50dce00191367c1?width=1200&format=jpeg,2023-09-29 03:57:10+00:00,"Elon Musk on Thursday put on a cowboy hat and headed to Texas in what appeared to be an attempt to make a point about migration across the Southern border.
""Elon here. I'm at Eagle Pass. Just arrive… [+3070 chars]",2023-09-29
1,"{'id': 'business-insider', 'name': 'Business Insider'}","astjohn@insider.com (Alexa St. John,Nora Naughton)",GM is shaping up to be the hardest hit by the UAW strike,This is the second time in four years that GM has experienced a strike. The current work stoppage has already cost GM upwards of $200 million.,https://www.businessinsider.com/united-auto-workers-strike-general-motors-hit-hardest,https://i.insider.com/652042556561dd877e734e3f?width=1200&format=jpeg,2023-10-08 10:03:01+00:00,"The ongoing United Auto Workers strike
 is taking a multi-million dollar toll on all three Detroit-based automakers, but General Motors might be hit
 the hardest so far.
UAW members have been on s… [+5251 chars]",2023-10-08
2,"{'id': 'business-insider', 'name': 'Business Insider'}",Tim Levin,Tesla is giving away a free car to owners who get their friends to buy a Tesla,Tesla owners who get a friend to buy a Tesla before the end of the month could win a free Model 3.,https://www.businessinsider.com/tesla-model-3-free-sweepstakes-referral-program-sales-2023-9,https://i.insider.com/650b2afa12dc4f001a175b8c?width=1200&format=jpeg,2023-09-20 20:43:28+00:00,"The Tesla Model 3.Xing Yun/Getty Images
<ul><li>Tesla is dangling the prospect of a free Model 3 in front of its loyal fans. </li><li>Tesla owners who get a friend to buy a Tesla before the end of t… [+1753 chars]",2023-09-20
3,"{'id': 'business-insider', 'name': 'Business Insider'}",Kali Hays,The SEC is investigating Elon Musk's purchase of Twitter and attempting to force him to sit for questioning,The Tesla billionaire made a chaotic acquisition of Twitter last year.,https://www.businessinsider.com/sec-investigating-elon-musks-twitter-purchase-wants-him-for-questioning-2023-10,https://i.insider.com/6507b225cd637c0019c694d4?width=1200&format=jpeg,2023-10-05 21:15:14+00:00,"Elon Musk.Chesnot via Getty Images
<ul><li>The SEC is investigating Elon Musk's initial investment in Twitter and his eventual takeover.</li><li>The government agency says Musk has failed to sit for… [+2761 chars]",2023-10-05
4,"{'id': 'business-insider', 'name': 'Business Insider'}",Tim Levin,A Tesla sedan drag raced a $4 million Bugatti — the results were surprisingly close,"The $110,000 Tesla Model S Plaid did surprisingly well against the multimillion-dollar Bugatti supercar.",https://www.businessinsider.com/tesla-model-s-vs-bugatti-chiron-pur-sport-drag-race-2023-9,https://i.insider.com/650b131a12dc4f001a174ce4?width=1200&format=jpeg,2023-09-20 16:10:57+00:00,"Both the Tesla and the Bugatti offer massive amounts of horsepower and speed — but one is gas-powered and one is electric. Bugatti, Tesla
<ul><li>A Tesla Model S drag raced a Bugatti Chiron. </li><l… [+2290 chars]",2023-09-20
5,"{'id': 'business-insider', 'name': 'Business Insider'}",Nora Naughton,Ford and GM workers already make $20 more an hour than Tesla employees. Their union's demands would double that gap.,"Tesla is the real reason Ford, GM, and Stellantis execs don't want to meet the UAW union's strike demands.",https://www.businessinsider.com/uaw-strike-tesla-pay-gap-gm-ford-stellantis-labor-hourly-wages-2023-9,https://i.insider.com/65087a8af05aa00019be57c6?width=1200&format=jpeg,2023-09-18 18:09:30+00:00,"UAW President Shawn Fain marches with UAW members through downtown Detroit on September 15, 2023.Bill Pugliano/Getty
<ul><li>Detroit executives have Tesla in mind as they reject the UAW's big demand… [+3163 chars]",2023-09-18
6,"{'id': 'business-insider', 'name': 'Business Insider'}",Nora Naughton,"Current UAW demands could increase EV prices up to $5,000 — and 'torpedo' Ford and GM's business model, analyst says","Contentious labor talks between the UAW and Ford, GM, and Stellantis could send EV prices soaring, giving Tesla another edge.",https://www.businessinsider.com/uaw-strike-union-demands-could-increase-electric-vehicle-prices-5000-ford-gm-2023-9,https://i.insider.com/6514374feee46600193b9331?width=1200&format=jpeg,2023-09-27 14:17:45+00:00,"United Auto Workers members attend a rally in Detroit, Mich., on September 15, 2023.AP Photo/Paul Sancya, File
<ul><li>Wedbush analyst Dan Ives argues that UAW raises would be passed down to consume… [+2821 chars]",2023-09-27
7,"{'id': 'business-insider', 'name': 'Business Insider'}",Tim Levin,"Tesla's new, cheaper Model Y is one of the best deals you can get on an EV right now",The rear-wheel-drive Tesla Model Y SUV introduces an affordable new option to the expensive EV market.,https://www.businessinsider.com/tesla-launches-cheaper-model-y-suv-2023-10,https://i.insider.com/651c7f2e2ce014759e7415db?width=1200&format=jpeg,2023-10-04 12:14:52+00:00,"Tesla launched a new, cheaper Model Y that could cost you $36,490. Tesla
<ul><li>Tesla launched a new, cheaper version of its popular Model Y SUV. </li><li>The rear-wheel-drive Model Y costs $43,990… [+2489 chars]",2023-10-04
8,"{'id': 'business-insider', 'name': 'Business Insider'}",Hasan Chowdhury,Elon Musk denied a report that Tesla planned to build a factory in Saudi Arabia. It's the latest development in his complicated history with the nation.,Tesla CEO Elon Musk has a thorny and sometimes adversarial relationship with the Saudi government. Here's what we know.,https://www.businessinsider.com/elon-musk-history-saudi-arabia-tesla-evs-2023-9,https://i.insider.com/650164111afe8f0019e94dc0?width=1200&format=jpeg,2023-09-20 09:05:18+00:00,"Elon Musk has a longstanding feud with Saudi Arabia. Chesnot/Getty Images
<ul><li>Elon Musk has denied a report suggesting Tesla has plans to set up a factory in Saudi Arabia.</li><li>The Wall Stree… [+6664 chars]",2023-09-20
9,"{'id': 'business-insider', 'name': 'Business Insider'}",Grace Kay,Elon Musk's dad said he turned down a free Tesla from his son,"""I prefer to drive a Rolls-Royce,"" Errol Musk said, adding he felt shipping the Tesla was too expensive.",https://www.businessinsider.com/elon-musk-errol-musk-turned-down-free-tesla-cost-shipping-2023-9,https://i.insider.com/6503297b1afe8f0019ea8056?width=1200&format=jpeg,2023-10-02 08:30:02+00:00,"Errol Musk (left) said Elon Musk (right) offered to ship a Tesla to South Africa for him.GIANLUIGI GUERCIA/AFP via Getty Images and Chesnot/Getty Images
<ul><li>Errol Musk, Elon Musk's dad, said he … [+3699 chars]",2023-10-02
